# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, until=2026-09-21T03:25:59Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_334fd10e_auto-nocaps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna; no=pcrec_334fd10e_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_334fd10e_auto-nocaps-simdna	pcrec_334fd10e_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	rust_1.13.1_default-caps-simdna
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	2896496.2	pcrec_d34c9131_auto-caps-simdna	2898406.8	pcrec_334fd10e_auto-nocaps-simdna	2896496.2	1166.800299	85.936496	1.000000	685.233645	1.000660	712.168832	25.745892
altwide@0.2	ci-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	76116.4	libpcre2_10.46_interp-caps-simdna	76116.4			1.000000	1.000100	refused	excluded	refused	excluded	excluded
altwide@0.2	ci-256	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1066.2	pcrec_334fd10e_vm-in-caps-simdna	100218.0	rust_1.13.1_default-caps-simdna	1066.2	excluded	excluded	refused	93.992211	refused	103.309752	1.000000
altwide@0.2	ci-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7373.3	pcrec_d34c9131_auto-caps-simdna	7373.3	pcrec_334fd10e_auto-nocaps-simdna	7394.2	2026.209452	152.580253	1.002843	1282.030381	1.000000	1325.971314	1.858361
altwide@0.2	ci-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	516557118.0	libpcre2_10.46_jit-caps-simdna	596452925.0	rust_1.13.1_default-caps-simdna	516557118.0	13.012010	1.154670	refused	refused	refused	refused	1.000000
altwide@0.2	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	145836.6	libpcre2_10.46_jit-caps-simdna	145836.6			1.000999	1.000000	refused	refused	refused	refused	excluded
altwide@0.2	ci-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1199.5			rust_1.13.1_default-caps-simdna	1199.5	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	ci-512	short-subject-search	plain	rust_1.13.1_default-caps-simdna	18446.1	libpcre2_10.46_jit-caps-simdna	2626904.7	rust_1.13.1_default-caps-simdna	18446.1	1605.976910	142.409576	refused	refused	refused	refused	1.000000
altwide@0.2	cnt-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2266095.0	pcrec_d34c9131_auto-caps-simdna	3496409.2	rust_1.13.1_default-caps-simdna	2266095.0	252.068600	19.023640	1.538968	5.802574	1.542923	5.846162	1.000000
altwide@0.2	cnt-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	17872.3	libpcre2_10.46_jit-caps-simdna	17872.3			1.006761	1.000000	refused	excluded	refused	excluded	excluded
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	404.2	pcrec_d34c9131_vm-caps-simdna	404.2	rust_1.13.1_default-caps-simdna	962.9	excluded	excluded	refused	1.160542	refused	1.000000	2.382480
altwide@0.2	cnt-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10085.5	pcrec_d34c9131_auto-caps-simdna	11817.0	rust_1.13.1_default-caps-simdna	10085.5	264.694040	19.978642	1.163851	5.528734	1.171680	5.397234	1.000000
altwide@0.2	floor	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	15340.1	pcrec_d34c9131_auto-caps-simdna	15363.5	pcrec_334fd10e_auto-nocaps-simdna	15340.1	1.012171	2.249974	1.000000	35.394763	1.001523	35.401921	1.019026
altwide@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2440.0	libpcre2_10.46_interp-caps-simdna	2440.0			1.000000	1.012177	excluded	excluded	excluded	excluded	excluded
