# reporter: v18 (2026-09-18); filters: subbench=altwide, version=0.2, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 40.71% (rust_1.13.1_default-caps-simdna / w-8 / short-subject-search); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						altwide@0.2__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260903T035908Z				agreement	agree (0 of 74 groups; 1 of 2672 rows; 100 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260903T050103Z				agreement	agree (0 of 89 groups; 3 of 2732 rows; 40 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_334fd10e_auto-nocaps-simdna__budu-ryzen1600__20260905T080736Z				agreement	agree (0 of 53 groups; 0 of 1436 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_334fd10e_vm-in-caps-simdna__budu-ryzen1600__20260905T083109Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_d34c9131_auto-caps-simdna__budu-ryzen1600__20260906T162430Z				agreement	agree (0 of 53 groups; 0 of 1436 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_d34c9131_vm-caps-simdna__budu-ryzen1600__20260906T155527Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260920T172738Z				agreement	agree (0 of 98 groups; 0 of 2768 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
baseline	ci-256	f-bg	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)	
rank	ci-256	f-bg	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	24.016927	5	1.0000	0	0		
rank	ci-256	f-bg	match-compliance	whole-subject	separate artifact	pcrec_334fd10e_vm-in-caps-simdna	measured	pinned	2	median_ns	2638.188643	5	1.0000	0	0		
rank	ci-256	f-bg	match-compliance	whole-subject	separate artifact	pcrec_d34c9131_vm-caps-simdna	measured	pinned	3	median_ns	2856.119665	5	1.0000	0	0		
rank	ci-256	f-bg	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	4	median_ns	4781.325601	5	1.0000	0	0		
rank	ci-256	f-bg	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	median_ns	4793.186921	5	1.0000	0	0		
did_not_compile	ci-256	f-bg	match-compliance			pcrec_334fd10e_auto-nocaps-simdna	did-not-compile									pcrec: pattern too large: 1045834 bytes of emitted C source (limit 1000000, ~173 KB .o). Lower a repeat count, try --unroll=1, or raise --max-emit-bytes; see limits.md "Handling an oversized artifact" (pattern offset 0)	
did_not_compile	ci-256	f-bg	match-compliance			pcrec_d34c9131_auto-caps-simdna	did-not-compile									pcrec: pattern too large: 1045834 bytes of emitted C source (limit 1000000, ~173 KB .o). Lower a repeat count, try --unroll=1, or raise --max-emit-bytes; see limits.md "Handling an oversized artifact" (pattern offset 0)	
baseline	ci-256	f-bg	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)	
rank	ci-256	f-bg	short-subject-search	plain	same program	pcrec_334fd10e_auto-nocaps-simdna	measured	pinned	1	median_ns	14.875976	5	1.0000	0	0		
rank	ci-256	f-bg	short-subject-search	plain	same program	pcrec_d34c9131_auto-caps-simdna	measured	pinned	2	median_ns	14.908958	5	1.0000	0	0		
