# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (1 record(s) matching this query); records: 1; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	rust_1.13.1_default-caps-simdna
altwide@0.2	ci-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	74572877.0	1.000000
altwide@0.2	ci-256	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1066.2	1.000000
altwide@0.2	ci-256	short-subject-search	plain	rust_1.13.1_default-caps-simdna	13702.2	1.000000
altwide@0.2	ci-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	516557118.0	1.000000
altwide@0.2	ci-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1199.5	1.000000
altwide@0.2	ci-512	short-subject-search	plain	rust_1.13.1_default-caps-simdna	18446.1	1.000000
altwide@0.2	cnt-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2266095.0	1.000000
altwide@0.2	cnt-64	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	962.9	1.000000
altwide@0.2	cnt-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10085.5	1.000000
altwide@0.2	floor	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	15632.0	1.000000
altwide@0.2	floor	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	227.0	1.000000
altwide@0.2	floor	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1872.2	1.000000
