# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.3, until=2026-09-21T03:25:52Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_288d505_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (9 record(s) matching this query); records: 7; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_288d505_auto-nocaps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; no=pcrec_288d505_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_288d505_auto-nocaps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	59554.8	libpcre2_10.46_jit-caps-simdna	59554.8	pcrec_288d505_auto-nocaps-simdna	87549.7	1.875607	1.000000	1.470071	1.462993	1.335376	1.318207	15782.036447
bounded@0.3	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1460.8	libpcre2_10.46_interp-caps-simdna	1460.8			1.000000	1.019817	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	275.6	pcrec_d34c9131_vm-in-caps-simdna	1468.7	rust_1.13.1_default-caps-simdna	275.6	excluded	excluded	28.520016	28.128162	5.775224	5.328210	1.000000
bounded@0.3	cls-atleast-4096	short-subject-search	plain	rust_1.13.1_default-caps-simdna	258.7	libpcre2_10.46_interp-caps-simdna	1826.1	rust_1.13.1_default-caps-simdna	258.7	7.058998	7.635505	10.260710	8.978563	202.485198	201.530806	1.000000
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	378365.8	pcrec_d34c9131_auto-caps-simdna	378365.8	pcrec_288d505_auto-nocaps-simdna	473473.7	28.635564	11.273705	1.251365	1.000000	1.833191	2.719545	11.600937
bounded@0.3	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	46560.8	libpcre2_10.46_interp-caps-simdna	46560.8			1.000000	1.003472	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_288d505_auto-nocaps-simdna	8667.5	pcrec_d34c9131_auto-caps-simdna	8671.9	pcrec_288d505_auto-nocaps-simdna	8667.5	excluded	excluded	1.000000	1.000510	1.008035	1.016156	1.229700
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	353.7	pcrec_d34c9131_auto-caps-simdna	353.7	pcrec_288d505_auto-nocaps-simdna	448.4	14.230522	5.653797	1.267878	1.000000	1.308600	1.539326	15.249054
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	125408.5	pcrec_d34c9131_auto-caps-simdna	125408.5	pcrec_288d505_auto-nocaps-simdna	155878.5	17.385758	6.356105	1.242966	1.000000	1.387736	1.435791	10.787180
bounded@0.3	cls-upto-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6924.4	libpcre2_10.46_interp-caps-simdna	6924.4			1.000000	1.006739	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1910.4	pcrec_d34c9131_vm-in-caps-simdna	1910.4	pcrec_288d505_auto-nocaps-simdna	4833.4	excluded	excluded	2.530001	2.533308	1.010661	1.000000	5.560034
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	998.4	pcrec_d34c9131_auto-caps-simdna	998.4	pcrec_288d505_auto-nocaps-simdna	1046.9	5.855834	2.569868	1.048581	1.000000	1.114571	1.101535	14.918114
