# reporter: v24 (2026-09-26); filters: subbench=bounded, version=0.3, until=2026-09-21T03:25:52Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_288d505_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (9 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 2; newer_not_measured: 0; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 100.0% (pcrec_288d505_auto-nocaps-simdna / dig-upto-32 / large-subject-throughput); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict	capture_class
record						bounded@0.3__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260904T232830Z				agreement	agree (0 of 129 groups; 1 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						bounded@0.3__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260905T001408Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						bounded@0.3__pcrec_288d505_auto-nocaps-simdna__budu-ryzen1600__20260905T013023Z				agreement	agree (0 of 126 groups; 6 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						bounded@0.3__pcrec_d34c9131_auto-caps-simdna__budu-ryzen1600__20260906T163343Z				agreement	agree (0 of 126 groups; 2 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						bounded@0.3__pcrec_d34c9131_vm-caps-simdna__budu-ryzen1600__20260906T171500Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						bounded@0.3__pcrec_d34c9131_vm-in-caps-simdna__budu-ryzen1600__20260906T175959Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						bounded@0.3__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260920T181437Z				agreement	agree (0 of 122 groups; 7 of 4095 rows; 5 unjudged; k=1.5, 2/3; 5 trials)							
baseline	cls-atleast-4096	d-00001	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	cls-atleast-4096	d-00001	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.616003	5	1.0000	0	0			no
rank	cls-atleast-4096	d-00001	match-compliance	whole-subject	separate artifact	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	2	median_ns	8.513367	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	match-compliance	whole-subject	separate artifact	pcrec_d34c9131_vm-caps-simdna	measured	pinned	3	median_ns	9.909827	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	match-compliance	whole-subject	separate artifact	pcrec_d34c9131_auto-caps-simdna	measured	pinned	4	median_ns	11.815309	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	match-compliance	whole-subject	separate artifact	pcrec_288d505_auto-nocaps-simdna	measured	pinned	5	median_ns	12.428249	5	1.0000	0	0			no
rank	cls-atleast-4096	d-00001	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	29.059594	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	29.467882	5	1.0000	0	0			yes
baseline	cls-atleast-4096	d-00001	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	cls-atleast-4096	d-00001	short-subject-search	plain	same program	pcrec_288d505_auto-nocaps-simdna	measured	pinned	1	median_ns	5.027368	5	1.0000	0	0			no
rank	cls-atleast-4096	d-00001	short-subject-search	plain	same program	pcrec_d34c9131_auto-caps-simdna	measured	pinned	2	median_ns	5.612394	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	3	median_ns	5.614250	5	1.0000	0	0			no
rank	cls-atleast-4096	d-00001	short-subject-search	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	4	median_ns	11.748144	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	short-subject-search	plain	same program	pcrec_d34c9131_vm-caps-simdna	measured	pinned	5	median_ns	14.832167	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	31.194325	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00001	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	39.858678	5	1.0000	0	0			yes
baseline	cls-atleast-4096	d-00002	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	cls-atleast-4096	d-00002	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.619311	5	1.0000	0	0			no
rank	cls-atleast-4096	d-00002	match-compliance	whole-subject	separate artifact	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	2	median_ns	7.531645	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00002	match-compliance	whole-subject	separate artifact	pcrec_d34c9131_vm-caps-simdna	measured	pinned	3	median_ns	9.967868	5	1.0000	0	0			yes
rank	cls-atleast-4096	d-00002	match-compliance	whole-subject	separate artifact	pcrec_288d505_auto-nocaps-simdna	measured	pinned	4	median_ns	12.199982	5	1.0000	0	0			no
rank	cls-atleast-4096	d-00002	match-compliance	whole-subject	separate artifact	pcrec_d34c9131_auto-caps-simdna	measured	pinned	5	median_ns	12.443041	5	1.0000	0	0			yes
