# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (1 record(s) matching this query); records: 1; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	rust_1.13.1_default-caps-simdna
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	939895489.0	1.000000
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	275.6	1.000000
bounded@0.3	cls-atleast-4096	short-subject-search	plain	rust_1.13.1_default-caps-simdna	258.7	1.000000
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	4389397.8	1.000000
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	10658.4	1.000000
bounded@0.3	cls-lazy-16384	short-subject-search	plain	rust_1.13.1_default-caps-simdna	5393.3	1.000000
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1352803.9	1.000000
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	10622.1	1.000000
bounded@0.3	cls-upto-1024	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14894.9	1.000000
bounded@0.3	cls-upto-128	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1338275.2	1.000000
bounded@0.3	cls-upto-128	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	2796.7	1.000000
bounded@0.3	cls-upto-128	short-subject-search	plain	rust_1.13.1_default-caps-simdna	12300.7	1.000000
bounded@0.3	cls-upto-16	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1555566.6	1.000000
bounded@0.3	cls-upto-16	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	953.8	1.000000
bounded@0.3	cls-upto-16	short-subject-search	plain	rust_1.13.1_default-caps-simdna	7518.5	1.000000
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	3477106.6	1.000000
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	10645.0	1.000000
bounded@0.3	cls-upto-16384	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14892.9	1.000000
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1468927.5	1.000000
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	10627.3	1.000000
bounded@0.3	cls-upto-2048	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14843.3	1.000000
bounded@0.3	cls-upto-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1321532.6	1.000000
bounded@0.3	cls-upto-256	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	3922.4	1.000000
bounded@0.3	cls-upto-256	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14846.4	1.000000
bounded@0.3	cls-upto-32	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1485938.4	1.000000
bounded@0.3	cls-upto-32	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1332.0	1.000000
bounded@0.3	cls-upto-32	short-subject-search	plain	rust_1.13.1_default-caps-simdna	8948.3	1.000000
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	12318405.6	1.000000
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	10684.0	1.000000
bounded@0.3	cls-upto-32768	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14918.1	1.000000
bounded@0.3	cls-upto-4	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2361891.8	1.000000
bounded@0.3	cls-upto-4	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	466.3	1.000000
bounded@0.3	cls-upto-4	short-subject-search	plain	rust_1.13.1_default-caps-simdna	6469.7	1.000000
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1853182.7	1.000000
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	10693.7	1.000000
bounded@0.3	cls-upto-4096	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14875.5	1.000000
bounded@0.3	cls-upto-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1323797.7	1.000000
bounded@0.3	cls-upto-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	6869.9	1.000000
bounded@0.3	cls-upto-512	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14945.2	1.000000
bounded@0.3	cls-upto-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1385769.8	1.000000
bounded@0.3	cls-upto-64	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	2192.3	1.000000
bounded@0.3	cls-upto-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10327.2	1.000000
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	10032032.9	1.000000
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	191613.5	1.000000
bounded@0.3	cls-upto-65535	short-subject-search	plain	rust_1.13.1_default-caps-simdna	150930.9	1.000000
bounded@0.3	cls-upto-8	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1829976.3	1.000000
bounded@0.3	cls-upto-8	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	687.2	1.000000
bounded@0.3	cls-upto-8	short-subject-search	plain	rust_1.13.1_default-caps-simdna	6895.4	1.000000
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2337345.1	1.000000
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	10673.4	1.000000
bounded@0.3	cls-upto-8192	short-subject-search	plain	rust_1.13.1_default-caps-simdna	14874.4	1.000000
bounded@0.3	csv5	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	190525.6	1.000000
bounded@0.3	csv5	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	2927.9	1.000000
bounded@0.3	csv5	short-subject-search	plain	rust_1.13.1_default-caps-simdna	8102.0	1.000000
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22174.2	1.000000
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1759.4	1.000000
bounded@0.3	ctx-greedy-256	short-subject-search	plain	rust_1.13.1_default-caps-simdna	8216.5	1.000000
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22705.6	1.000000
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1751.0	1.000000
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	rust_1.13.1_default-caps-simdna	8000.2	1.000000
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22137.5	1.000000
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1733.7	1.000000
bounded@0.3	ctx-lazy-256	short-subject-search	plain	rust_1.13.1_default-caps-simdna	8230.7	1.000000
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22039.5	1.000000
bounded@0.3	ctx-lazy-64	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1306.3	1.000000
bounded@0.3	ctx-lazy-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	3438.8	1.000000
bounded@0.3	dig-exact-16	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	282820.9	1.000000
bounded@0.3	dig-exact-16	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	898.1	1.000000
bounded@0.3	dig-exact-16	short-subject-search	plain	rust_1.13.1_default-caps-simdna	6775.3	1.000000
