# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=capability, version=0.1, until=2026-09-21T03:49:17Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=re2_11.0.0_default-caps-simdna, testee=re2_11.0.0_longest-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (17 record(s) matching this query); records: 13; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 4; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,re2_11.0.0_default-caps-simdna,re2_11.0.0_longest-caps-simdna,rust_1.13.1_default-caps-simdna,tre_0.9.0_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,re2_11.0.0_default-caps-simdna,re2_11.0.0_longest-caps-simdna,tre_0.9.0_default-caps-simdna; no=libpcre2_10.46_dfa-nocaps-simdna,pcrec_25b1984f_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	oniguruma_6.9.10_default-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	re2_11.0.0_default-caps-simdna	re2_11.0.0_longest-caps-simdna	rust_1.13.1_default-caps-simdna	tre_0.9.0_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	562266.0	libpcre2_10.46_jit-caps-simdna	562266.0	libpcre2_10.46_dfa-nocaps-simdna	4705332.8	8.368517	5.164487	1.000000	refused	9.755937	9.748839	9.744054	9.769482	unsup	unsup	unsup	unsup	unsup
capability@0.1	balanced-parens-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2959.0	libpcre2_10.46_jit-caps-simdna	2959.0	libpcre2_10.46_dfa-nocaps-simdna	4585.5	1.549686	1.306721	1.000000	refused	2.245191	2.194698	2.220497	2.258716	unsup	unsup	unsup	unsup	unsup
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	16.9	pcrec_25b1984f_auto-caps-simdna	16.9	pcrec_25b1984f_auto-nocaps-simdna	16.9	4.785321	5.476777	7.030828	5.833770	1.000830	1.000000	240437.682914	240506.054968	16.849903	16.835157	5.332104	700369.190439	9.923228
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	552.0	pcrec_25b1984f_auto-caps-simdna	555.1	pcrec_25b1984f_auto-nocaps-simdna	552.0	8.931634	8.218078	5.755766	14.167024	1.005495	1.000000	10.339905	10.181027	7.365750	7.380347	4.026206	33.702994	3.715603
capability@0.1	bracket-array-define	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	93.6	oniguruma_6.9.10_default-caps-simdna	93.6	libpcre2_10.46_dfa-nocaps-simdna	311.0	3.322360	3.540523	1.370831	1.000000	52144.917639	52131.710222	52138.163648	52122.952618	unsup	unsup	unsup	unsup	unsup
capability@0.1	bracket-array-define	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	2915.5	oniguruma_6.9.10_default-caps-simdna	2915.5	pcrec_25b1984f_auto-nocaps-simdna	6882.1	3.046456	3.026821	1.109108	1.000000	2.344175	2.360541	2.339085	2.427889	unsup	unsup	unsup	unsup	unsup
capability@0.1	codegrammar-flat	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121332.8	pcrec_25b1984f_auto-caps-simdna	608610.2	vectorscan_5.4.11_block-nosom-nocaps-simd	121332.8	127.054082	17.439976	7.482265	80.239216	5.016042	5.185277	16.655255	36.661274	18.442069	18.439502	20.130000	527.219997	1.000000
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	723.9	pcrec_25b1984f_auto-caps-simdna	931.1	pcrec_25b1984f_auto-nocaps-simdna	723.9	3.393517	3.777208	4.558038	7.791859	1.286263	1.000000	2.151112	5.202515	10.622749	10.616511	3.448044	33.093990	3.413458
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121304.1	pcrec_25b1984f_auto-caps-simdna	604191.1	vectorscan_5.4.11_block-nosom-nocaps-simd	121304.1	122.130435	17.486522	7.453830	80.201306	4.980798	5.325954	16.609478	36.395076	unsup	unsup	20.139012	unsup	1.000000
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	724.9	pcrec_25b1984f_auto-caps-simdna	932.2	pcrec_25b1984f_auto-nocaps-simdna	724.9	3.418107	3.824844	4.350687	7.777510	1.285921	1.000000	2.147761	5.200256	unsup	unsup	3.429273	unsup	3.404691
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1723358.9	libpcre2_10.46_jit-caps-simdna	1723358.9	libpcre2_10.46_dfa-nocaps-simdna	10819260.4	6.278008	6.590017	1.000000	5.570737	6.486935	6.502094	6.452083	6.448546	unsup	unsup	unsup	unsup	unsup
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4033.4	libpcre2_10.46_jit-caps-simdna	4033.4	pcrec_25b1984f_auto-nocaps-simdna	5162.3	3.799308	3.954220	1.000000	4.330186	1.276580	1.279883	3.069923	3.132494	unsup	unsup	unsup	unsup	unsup
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	16.1	pcrec_25b1984f_auto-caps-simdna	30.7	pcrec_25b1984f_auto-nocaps-simdna	16.1	6.407726	6.058908	8.703334	5.870665	1.902143	1.000000	239733.234674	239698.483272	17.739562	17.827986	5.077517	538158.873918	10.347001
