# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-17T00:00:00Z, until=2026-09-21T01:10:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_cf0962e3_auto-caps-simdna, testee=pcrec_cf0962e3_auto-nocaps-simdna, testee=pcrec_cf0962e3_vm-caps-simdna, testee=pcrec_cf0962e3_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (12 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_cf0962e3_auto-caps-simdna,pcrec_cf0962e3_auto-nocaps-simdna,pcrec_cf0962e3_vm-caps-simdna,pcrec_cf0962e3_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_cf0962e3_auto-caps-simdna	pcrec_cf0962e3_auto-nocaps-simdna	pcrec_cf0962e3_vm-caps-simdna	pcrec_cf0962e3_vm-in-caps-simdna
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	562266.0	8.368517	5.164487	1.000000	9.755937	9.748839	9.744054	9.769482	9.746191	9.728100	9.759563	9.776804
capability@0.1	balanced-parens-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2959.0	1.549686	1.306721	1.000000	2.245191	2.194698	2.220497	2.258716	2.237952	2.211439	2.231687	2.228645
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	16.9	4.785427	5.476897	7.030984	1.000852	1.000022	240442.990134	240511.363698	1.000000	1.001032	240601.717849	240508.911139
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	544.5	9.055575	8.332117	5.835636	1.019447	1.013877	10.483388	10.322305	1.000000	1.017005	10.492489	10.342338
capability@0.1	bracket-array-define	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	128.3	2.423611	2.582757	1.000000	38038.916048	38029.281441	38033.989115	38022.892903	38024.952151	38010.247041	38011.935168	38013.772347
capability@0.1	bracket-array-define	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3233.6	2.746764	2.729060	1.000000	2.113568	2.128325	2.108980	2.189047	2.114719	2.125393	2.109440	2.189554
capability@0.1	codegrammar-flat	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	604250.7	25.512298	3.501925	1.502429	1.007215	1.041197	3.344354	7.361537	1.000000	1.027715	3.315937	7.294642
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	723.9	3.393517	3.777208	4.558038	1.286263	1.000000	2.151112	5.202515	1.294023	1.003080	2.161062	5.208360
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	604191.1	24.520255	3.510787	1.496513	1.000000	1.069297	3.334702	7.307077	1.001255	1.038210	3.302175	7.356935
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	724.9	3.418107	3.824844	4.350687	1.285921	1.000000	2.147761	5.200256	1.294799	1.002120	2.156912	5.196463
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1723358.9	6.278008	6.590017	1.000000	6.486935	6.502094	6.452083	6.448546	6.511348	6.484205	6.453909	6.444034
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4033.4	3.799308	3.954220	1.000000	1.276580	1.279883	3.069923	3.132494	1.279541	1.273223	3.067838	3.121810
