# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=syntax, version=0.1, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_auto-nocaps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_auto-nocaps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
syntax@0.1	alt-nested	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	890038.8	14.634661	1.346590	2.386261	2.387503	2.303477	2.307545	1.000000
syntax@0.1	alt-nested	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1859.7	1.000000	1.000570	excluded	excluded	excluded	excluded	excluded
syntax@0.1	alt-nested	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	259.7	excluded	excluded	1.742408	1.741719	1.074816	1.000000	1.633602
syntax@0.1	alt-nested	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	725.4	7.994668	2.412690	1.000000	1.001889	1.209663	1.132095	2.007406
syntax@0.1	alt-two	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	870225.0	9.669725	1.331781	2.265890	2.263746	2.632308	2.701580	1.000000
syntax@0.1	alt-two	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1560.4	1.000000	1.006263	excluded	excluded	excluded	excluded	excluded
syntax@0.1	alt-two	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	259.2	excluded	excluded	1.706457	1.667997	1.036238	1.000000	1.637748
syntax@0.1	alt-two	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	737.8	5.468075	2.421966	1.000000	1.006812	1.577302	1.612048	1.938401
syntax@0.1	anc-a-uc	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna	15.3	5.853236	7.085031	1.107364	1.107303	1.000000	1.280819	5.380050
syntax@0.1	anc-a-uc	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1905.4	1.000000	1.000382	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-a-uc	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	261.5	excluded	excluded	1.571196	1.571740	1.104604	1.000000	1.760093
syntax@0.1	anc-a-uc	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna	246.4	8.160164	6.494865	1.163736	1.162209	1.000000	1.006890	6.462989
syntax@0.1	anc-caret	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna	15.1	6.097060	7.092574	1.119522	1.136987	1.000000	1.295382	5.352604
syntax@0.1	anc-caret	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1898.7	1.022004	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-caret	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	261.4	excluded	excluded	1.569715	1.571225	1.102219	1.000000	1.760564
syntax@0.1	anc-caret	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna	246.5	8.313263	6.335957	1.162632	1.162283	1.000000	1.010924	6.469701
syntax@0.1	anc-dollar	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	80.8	36701.085186	2622.873477	6344.935711	6345.167240	26962.550523	27099.949768	1.000000
syntax@0.1	anc-dollar	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1321.7	1.030538	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-dollar	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	251.3	excluded	excluded	1.758295	1.725004	1.000000	1.021650	1.833302
syntax@0.1	anc-dollar	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	779.7	4.140452	2.097019	1.001010	1.000000	1.888586	1.790872	wrong
syntax@0.1	anc-g-uc	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	18.7	4.788258	5.694199	1.000000	1.016942	65238.044349	65218.752393	refused
syntax@0.1	anc-g-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1905.6	1.002910	1.000000	excluded	excluded	excluded	excluded	refused
syntax@0.1	anc-g-uc	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	261.5	excluded	excluded	1.652294	1.648856	1.021992	1.000000	refused
syntax@0.1	anc-g-uc	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	312.8	6.373813	5.104318	1.000000	1.001392	3.337831	3.184418	refused
syntax@0.1	anc-m-caret	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	189762.0	16.970795	1.000000	2.090441	2.092497	6.248566	6.244100	1.267227
syntax@0.1	anc-m-caret	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2355.2	1.003824	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-m-caret	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	262.4	excluded	excluded	2.912276	2.925006	1.105358	1.000000	1.760105
syntax@0.1	anc-m-caret	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	493.6	6.092314	3.550042	1.001812	1.000000	1.811034	1.676378	5.476382
syntax@0.1	anc-m-dollar	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	220209.8	13.524661	1.000000	2.392543	2.390902	8.008420	8.043253	1.077943
syntax@0.1	anc-m-dollar	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1326.5	1.013546	1.000000	excluded	excluded	excluded	excluded	excluded
