# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=syntax, version=0.1, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (1 record(s) matching this query); records: 1; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	rust_1.13.1_default-caps-simdna
syntax@0.1	alt-nested	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	890038.8	1.000000
syntax@0.1	alt-nested	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	424.3	1.000000
syntax@0.1	alt-nested	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1456.1	1.000000
syntax@0.1	alt-two	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	870225.0	1.000000
syntax@0.1	alt-two	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	424.5	1.000000
syntax@0.1	alt-two	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1430.1	1.000000
syntax@0.1	anc-a-uc	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	82.2	1.000000
syntax@0.1	anc-a-uc	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	460.3	1.000000
syntax@0.1	anc-a-uc	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1592.3	1.000000
syntax@0.1	anc-caret	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	80.8	1.000000
syntax@0.1	anc-caret	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	460.3	1.000000
syntax@0.1	anc-caret	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1594.5	1.000000
syntax@0.1	anc-dollar	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	80.8	1.000000
syntax@0.1	anc-dollar	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	460.7	1.000000
syntax@0.1	anc-dollar	short-subject-search	plain			wrong
syntax@0.1	anc-g-uc					refused
syntax@0.1	anc-m-caret	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	240471.6	1.000000
syntax@0.1	anc-m-caret	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	461.9	1.000000
syntax@0.1	anc-m-caret	short-subject-search	plain	rust_1.13.1_default-caps-simdna	2703.2	1.000000
syntax@0.1	anc-m-dollar	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	237373.6	1.000000
syntax@0.1	anc-m-dollar	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	461.1	1.000000
syntax@0.1	anc-m-dollar	short-subject-search	plain	rust_1.13.1_default-caps-simdna	2372.5	1.000000
syntax@0.1	anc-z-lc	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	79.9	1.000000
syntax@0.1	anc-z-lc	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	460.5	1.000000
syntax@0.1	anc-z-lc	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1210.2	1.000000
syntax@0.1	anc-z-uc					refused
syntax@0.1	asr-k-uc					refused
syntax@0.1	asr-nwb	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	586666.5	1.000000
syntax@0.1	asr-nwb	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	322.2	1.000000
syntax@0.1	asr-nwb	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1785.1	1.000000
syntax@0.1	asr-wb	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	605608.9	1.000000
syntax@0.1	asr-wb	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	424.0	1.000000
syntax@0.1	asr-wb	short-subject-search	plain	rust_1.13.1_default-caps-simdna	2072.4	1.000000
syntax@0.1	bak-1					refused
syntax@0.1	bak-2					refused
syntax@0.1	bak-g-rel					refused
syntax@0.1	bak-k-named					refused
syntax@0.1	bak-py					refused
syntax@0.1	cls-d	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	5382336.7	1.000000
syntax@0.1	cls-d	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1170.9	1.000000
syntax@0.1	cls-d	short-subject-search	plain	rust_1.13.1_default-caps-simdna	3241.2	1.000000
syntax@0.1	cls-dot	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1687732.2	1.000000
syntax@0.1	cls-dot	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	580.2	1.000000
syntax@0.1	cls-dot	short-subject-search	plain	rust_1.13.1_default-caps-simdna	2308.4	1.000000
syntax@0.1	cls-fold-pair	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	670495.0	1.000000
syntax@0.1	cls-fold-pair	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	424.9	1.000000
syntax@0.1	cls-fold-pair	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1448.6	1.000000
syntax@0.1	cls-h					refused
syntax@0.1	cls-i-class	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	926051.9	1.000000
syntax@0.1	cls-i-class	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	628.1	1.000000
syntax@0.1	cls-i-class	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1949.5	1.000000
syntax@0.1	cls-mixed-case	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1699289.8	1.000000
syntax@0.1	cls-mixed-case	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	425.2	1.000000
syntax@0.1	cls-mixed-case	short-subject-search	plain	rust_1.13.1_default-caps-simdna	2289.7	1.000000
syntax@0.1	cls-n-uc					refused
syntax@0.1	cls-negset	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1254983.6	1.000000
syntax@0.1	cls-negset	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	479.4	1.000000
syntax@0.1	cls-negset	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1736.2	1.000000
syntax@0.1	cls-pair-ctl	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	647727.5	1.000000
syntax@0.1	cls-pair-ctl	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	424.6	1.000000
syntax@0.1	cls-pair-ctl	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1442.8	1.000000
syntax@0.1	cls-posix	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22986169.3	1.000000
syntax@0.1	cls-posix	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	2158.3	1.000000
syntax@0.1	cls-posix	short-subject-search	plain	rust_1.13.1_default-caps-simdna	8006.7	1.000000
syntax@0.1	cls-range	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	490857.5	1.000000
syntax@0.1	cls-range	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	926.5	1.000000
syntax@0.1	cls-range	short-subject-search	plain	rust_1.13.1_default-caps-simdna	1432.7	1.000000
syntax@0.1	cls-s-lc	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	344760.5	1.000000
syntax@0.1	cls-s-lc	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	686.7	1.000000
