# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-01T00:00:00Z, until=2026-09-21T07:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (10 record(s) matching this query); records: 10; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_334fd10e_auto-nocaps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_334fd10e_auto-nocaps-simdna	pcrec_334fd10e_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	2896496.2	1166.800299	85.936496	1.000812	1.003703	701.804285	711.662929	1.000000	685.233645	1.000660	712.168832
altwide@0.2	ci-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	76116.4	1.000000	1.000100	excluded	excluded	excluded	excluded	refused	excluded	refused	excluded
altwide@0.2	ci-256	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	8872.0	excluded	excluded	1.000991	1.000000	12.435008	12.428461	refused	11.295950	refused	12.415729
altwide@0.2	ci-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	7370.8	2026.881165	152.630835	1.000000	1.001320	1314.136559	1335.664940	1.003175	1282.455389	1.000332	1326.410889
altwide@0.2	ci-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	4110942.5	1635.013511	145.089096	1.000000	1.005782	refused	refused	refused	refused	refused	refused
altwide@0.2	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	145836.6	1.000999	1.000000	excluded	excluded	refused	refused	refused	refused	refused	refused
altwide@0.2	ci-512	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	14994.2	excluded	excluded	1.000000	1.001331	refused	refused	refused	refused	refused	refused
altwide@0.2	ci-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	13481.4	2197.399707	194.853835	1.000097	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	cnt-64	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	3487446.5	163.790723	12.361301	1.000494	1.000573	3.866540	3.870898	1.000000	3.770433	1.002570	3.798756
altwide@0.2	cnt-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	17872.3	1.006761	1.000000	excluded	excluded	excluded	excluded	refused	excluded	refused	excluded
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	404.0	excluded	excluded	24.242728	24.284934	1.000000	1.149323	refused	1.161172	refused	1.000543
altwide@0.2	cnt-64	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	11738.0	227.429490	17.165979	1.002455	1.004253	4.691253	4.665674	1.000000	4.750379	1.006727	4.637392
altwide@0.2	floor	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	15340.1	1.012171	2.249974	1.002168	1.003581	35.374674	35.374938	1.000000	35.394763	1.001523	35.401921
altwide@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2440.0	1.000000	1.012177	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	floor	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	236.6	excluded	excluded	1.801034	1.794347	1.005754	1.000000	1.591430	1.024957	1.764705	1.009550
altwide@0.2	floor	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna	390.4	7.156872	4.324412	1.388591	1.401780	1.013428	1.105072	1.391192	1.130884	1.397308	1.000000
altwide@0.2	nar4-256	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	1795473.4	257.618988	21.853807	1.001053	1.003935	4.688264	4.695806	1.000000	4.701163	1.000167	4.706608
altwide@0.2	nar4-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1876.0	1.002147	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	349.5	excluded	excluded	1.313318	1.310358	1.000000	1.035752	1.359037	1.052696	1.301970	1.002649
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	4394.7	497.271963	42.546714	1.000000	1.005841	5.863091	6.184200	1.006354	5.939781	1.005196	5.893457
altwide@0.2	nar4-512	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	2040322.7	448.076382	45.275296	1.001166	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	nar4-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2403.4	1.000000	1.003625	excluded	excluded	refused	refused	refused	refused	refused	refused
altwide@0.2	nar4-512	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	5799.8	excluded	excluded	1.000027	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	nar4-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	5831.5	745.162780	75.289334	1.000000	1.002615	refused	refused	refused	refused	refused	refused
altwide@0.2	nar4-64	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	1908871.4	64.271390	3.982133	1.001244	1.000000	4.228180	4.227464	1.001162	4.266743	1.002684	4.255084
altwide@0.2	nar4-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1457.2	1.000000	1.008580	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	338.7	excluded	excluded	1.297955	1.302648	1.000701	1.104473	1.331261	1.122352	1.301738	1.000000
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	4559.9	124.801852	8.236277	1.011544	1.000000	5.579685	5.627998	1.008176	5.640560	1.005919	5.665332
altwide@0.2	pfx3-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	352675.9	391.024560	1.000000	1.030573	1.033175	8.716769	8.464975	1.036925	8.260100	1.037706	8.594407
altwide@0.2	pfx3-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6453.1	1.005452	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	338.5	excluded	excluded	1.363638	1.363623	1.000118	1.068556	1.318946	1.084443	1.361786	1.000000
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1220.7	463.500875	3.514246	1.000059	1.003173	11.712311	12.715085	1.001918	11.917239	1.000000	11.967165
altwide@0.2	pfx3-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	364219.5	751.779634	2.237672	1.000000	1.004561	7.467054	7.463662	refused	7.383856	refused	7.421847
altwide@0.2	pfx3-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11470.2	1.000000	1.019398	excluded	excluded	excluded	excluded	refused	excluded	refused	excluded
altwide@0.2	pfx3-512	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	326.5	excluded	excluded	4.952744	4.915420	1.000000	1.107573	refused	1.124379	refused	1.001422
altwide@0.2	pfx3-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1225.1	927.565428	6.127873	1.000468	1.000000	12.234452	12.603062	refused	11.465143	refused	11.706699
altwide@0.2	s-2048	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	4868289.3	3804.539599	542.397536	1.001773	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	s-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	403778.1	1.000000	1.000754	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-2048	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	15073.4	6395.555463	884.118307	1.000208	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	s-256	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	2881009.4	818.127137	95.781303	1.000000	1.006478	5.573629	5.597246	1.006718	5.586071	1.001360	5.574871
altwide@0.2	s-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	55821.1	1.000407	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	366.5	excluded	excluded	1.293615	1.282905	1.000000	1.038507	1.228768	1.051490	1.269013	1.001203
altwide@0.2	s-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	8241.9	1482.566270	173.422593	1.000000	1.000100	6.404204	6.285021	1.000610	6.378301	1.002412	6.361899
altwide@0.2	s-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	18640475931.0	1.986796	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	810287.3	1.000928	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-4096	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	99118069.8	1.878387	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	3169279.0	1468.594876	187.813176	1.000000	1.002729	5.434970	5.435111	1.002048	5.437475	1.003759	5.445161
altwide@0.2	s-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	106427.1	1.000000	1.000057	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
