# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, until=2026-09-21T14:30:16Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	2898847.7	pcrec_25b1984f_auto-caps-simdna	2898847.7	pcrec_25b1984f_auto-nocaps-simdna	2907221.0	1165.853792	85.866784	1.000000	1.002889	701.234983	711.085629	25.725007
altwide@0.2	ci-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	76116.4	libpcre2_10.46_interp-caps-simdna	76116.4			1.000000	1.000100	excluded	excluded	excluded	excluded	excluded
altwide@0.2	ci-256	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1066.2	pcrec_25b1984f_auto-caps-simdna	8880.8	rust_1.13.1_default-caps-simdna	1066.2	excluded	excluded	8.329124	8.320877	103.470173	103.415697	1.000000
altwide@0.2	ci-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	7370.8	pcrec_25b1984f_auto-caps-simdna	7370.8	pcrec_25b1984f_auto-nocaps-simdna	7380.6	2026.881165	152.630835	1.000000	1.001320	1314.136559	1335.664940	1.858977
altwide@0.2	ci-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	4110942.5	pcrec_25b1984f_auto-caps-simdna	4110942.5	pcrec_25b1984f_auto-nocaps-simdna	4134710.4	1635.013511	145.089096	1.000000	1.005782	refused	refused	125.654184
altwide@0.2	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	145836.6	libpcre2_10.46_jit-caps-simdna	145836.6			1.000999	1.000000	excluded	excluded	refused	refused	excluded
altwide@0.2	ci-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1199.5	pcrec_25b1984f_auto-caps-simdna	14994.2	rust_1.13.1_default-caps-simdna	1199.5	excluded	excluded	12.500150	12.516792	refused	refused	1.000000
altwide@0.2	ci-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	13481.4	pcrec_25b1984f_auto-caps-simdna	13482.7	pcrec_25b1984f_auto-nocaps-simdna	13481.4	2197.399707	194.853835	1.000097	1.000000	refused	refused	1.368264
altwide@0.2	cnt-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2266095.0	pcrec_25b1984f_auto-caps-simdna	3489169.6	rust_1.13.1_default-caps-simdna	2266095.0	252.068600	19.023640	1.539728	1.539849	5.950480	5.957185	1.000000
altwide@0.2	cnt-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	17872.3	libpcre2_10.46_jit-caps-simdna	17872.3			1.006761	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	404.0	pcrec_25b1984f_vm-caps-simdna	404.0	rust_1.13.1_default-caps-simdna	962.9	excluded	excluded	24.242728	24.284934	1.000000	1.149323	2.383775
altwide@0.2	cnt-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10085.5	pcrec_25b1984f_auto-caps-simdna	11766.8	rust_1.13.1_default-caps-simdna	10085.5	264.694040	19.978642	1.166708	1.168801	5.459920	5.430150	1.000000
altwide@0.2	floor	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	15373.4	pcrec_25b1984f_auto-caps-simdna	15373.4	pcrec_25b1984f_auto-nocaps-simdna	15395.0	1.009981	2.245108	1.000000	1.001411	35.298161	35.298423	1.016822
