# reporter: v24 (2026-09-26); filters: subbench=altwide, version=0.2, until=2026-09-21T14:30:16Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 40.71% (rust_1.13.1_default-caps-simdna / w-8 / short-subject-search); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						altwide@0.2__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260903T035908Z				agreement	agree (0 of 74 groups; 1 of 2672 rows; 100 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260903T050103Z				agreement	agree (0 of 89 groups; 3 of 2732 rows; 40 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_25b1984f_auto-caps-simdna__budu-ryzen1600__20260921T053254Z				agreement	agree (0 of 89 groups; 0 of 2480 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_25b1984f_auto-nocaps-simdna__budu-ryzen1600__20260921T055126Z				agreement	agree (0 of 89 groups; 0 of 2480 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_25b1984f_vm-caps-simdna__budu-ryzen1600__20260921T061001Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_25b1984f_vm-in-caps-simdna__budu-ryzen1600__20260921T062414Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260920T172738Z				agreement	agree (0 of 98 groups; 0 of 2768 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
baseline_yes	ci-256	(set)	large-subject-throughput			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)	
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	1	median_ns	2898847.709402	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	1	min_ns	2897423.598291	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	1	max_ns	2900031.222222	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	1	stddev_ns	1045.019839	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.000858	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	2	median_ns	248914730.000000	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	2	min_ns	247907919.500000	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	2	max_ns	252923349.500000	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	2	stddev_ns	1756769.406169	4	1.0000	0	0		
rank_yes	ci-256	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.073651	4	1.0000	0	0		
