# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (9 record(s) matching this query); records: 7; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	59554.8	1.875607	1.000000	1.485730	1.475440	1.336311	1.307233	15782.036447
bounded@0.3	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1460.8	1.000000	1.019817	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	275.6	excluded	excluded	28.128245	28.126474	5.679983	5.323590	1.000000
bounded@0.3	cls-atleast-4096	short-subject-search	plain	rust_1.13.1_default-caps-simdna	258.7	7.058998	7.635505	9.022875	8.950893	202.677301	201.817021	1.000000
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	399342.6	27.131386	10.681516	1.000876	1.000000	1.733277	2.612110	10.991560
bounded@0.3	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	46560.8	1.000000	1.003472	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	8658.3	excluded	excluded	1.000000	1.002402	1.001168	1.015072	1.230996
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	340.0	14.803534	5.881455	1.000320	1.000000	1.279123	1.590371	15.863079
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	125471.1	17.377076	6.352931	1.000000	1.005838	1.387770	1.482272	10.781793
bounded@0.3	cls-upto-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6924.4	1.000000	1.006739	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1922.1	excluded	excluded	2.514926	2.519414	1.012768	1.000000	5.526270
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	988.9	5.912158	2.594586	1.003435	1.000000	1.116510	1.110338	15.061603
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	136965.8	16.317395	6.463545	1.000000	1.016206	1.361614	1.444960	9.770869
bounded@0.3	cls-upto-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5471.1	1.011759	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	975.5	excluded	excluded	2.105834	2.109769	1.014893	1.000000	2.866788
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	836.4	6.705737	2.740876	1.000000	1.001671	1.141994	1.132235	14.707259
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	169654.8	16.067717	5.896994	1.001120	1.000000	1.372752	1.362999	9.169010
bounded@0.3	cls-upto-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4744.2	1.005442	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	488.2	excluded	excluded	1.445218	1.451120	1.126296	1.000000	1.953642
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	515.7	9.853227	3.902493	1.000161	1.000000	1.295255	1.258190	14.580232
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	123793.8	17.505380	6.589848	1.000761	1.000000	1.399876	1.488172	28.087893
bounded@0.3	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6965.9	1.000000	1.007866	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1833.1	excluded	excluded	1.020787	1.022163	1.022410	1.000000	5.807223
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	987.7	5.907479	2.563541	1.007581	1.000000	1.119575	1.112865	15.078180
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	124470.2	17.391575	6.878284	1.001388	1.000000	1.390404	1.489214	11.801436
bounded@0.3	cls-upto-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6915.4	1.000000	1.006451	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1832.1	excluded	excluded	6.769705	6.780825	1.021375	1.000000	5.800475
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	988.1	5.905555	2.588209	1.000000	1.000416	1.118403	1.110731	15.022486
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	130322.6	16.892016	6.367312	1.000496	1.000000	1.377130	1.467104	10.140474
bounded@0.3	cls-upto-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5945.3	1.009441	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1310.2	excluded	excluded	2.283617	2.282303	1.181534	1.000000	2.993700
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	989.3	5.896185	2.515301	1.000224	1.000000	1.118868	1.109889	15.007060
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	157823.8	15.589748	6.076675	1.000000	1.001814	1.151116	1.278680	9.415173
bounded@0.3	cls-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4947.6	1.000575	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	515.6	excluded	excluded	1.863883	1.872013	1.102167	1.000000	2.583561
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	580.8	9.160128	3.561914	1.000000	1.001773	1.150564	1.169055	15.406942
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	172298.1	12.564852	4.968100	1.001508	1.000000	1.005254	1.070111	71.494707
bounded@0.3	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6904.7	1.000000	1.011662	excluded	excluded	excluded	excluded	excluded
