# reporter: v18 (2026-09-18); filters: subbench=bounded, version=0.3, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (9 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 2; newer_not_measured: 0; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 22.68% (pcrec_25b1984f_vm-in-caps-simdna / floor / large-subject-throughput); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						bounded@0.3__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260904T232830Z				agreement	agree (0 of 129 groups; 1 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260905T001408Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_25b1984f_auto-caps-simdna__budu-ryzen1600__20260921T104252Z				agreement	agree (0 of 126 groups; 0 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_25b1984f_auto-nocaps-simdna__budu-ryzen1600__20260921T112223Z				agreement	agree (0 of 126 groups; 0 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_25b1984f_vm-caps-simdna__budu-ryzen1600__20260921T120307Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_25b1984f_vm-in-caps-simdna__budu-ryzen1600__20260921T125004Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260920T181437Z				agreement	agree (0 of 122 groups; 7 of 4095 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
baseline	cls-atleast-4096	(set)	large-subject-throughput			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)	
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	59554.766088	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	min_ns	59416.182392	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	max_ns	59875.462890	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	stddev_ns	155.983206	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.533161	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	median_ns	77851.935321	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	min_ns	77212.767900	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	max_ns	78290.167687	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	stddev_ns	429.092277	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.696965	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	ratio_vs_best	1.307233	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	79583.668351	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	min_ns	79397.334840	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	max_ns	80257.100000	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	stddev_ns	305.796334	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	ratio_vs_baseline	0.712468	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	ratio_vs_best	1.336311	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	87869.513371	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	min_ns	86710.184072	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	max_ns	89127.954714	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	stddev_ns	772.047245	5	1.0000	0	0		
