# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=email-specimen, version=0.2, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (14 record(s) matching this query); records: 7; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.4,1.6; superseded: 7; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
email-specimen@0.2	factored	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	14136501.8	35.272401	excluded	1.008422	1.000000	gave-up	gave-up	refused
email-specimen@0.2	factored	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1834922.8	1.000000	1.006954	excluded	excluded	excluded	excluded	refused
email-specimen@0.2	factored	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	73250.8	excluded	excluded	1.001023	1.000000	gave-up	6.250422	refused
email-specimen@0.2	factored	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	3525.3	39.127849	4.334410	1.041291	1.000000	15.446195	15.547578	refused
email-specimen@0.2	floor	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	850311.8	4.362219	2.254854	1.142442	1.137608	3.903995	3.941436	1.000000
email-specimen@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2568.8	1.000000	1.002567	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	floor	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	485.6	excluded	excluded	1.816862	1.801427	1.000000	1.041674	1.219902
email-specimen@0.2	floor	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	961.4	7.684113	3.537635	1.419067	1.425323	1.085255	1.000000	5.293428
email-specimen@0.2	orig	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	13914223.0	8.817565	1.307093	1.015606	1.016110	gave-up	gave-up	1.000000
email-specimen@0.2	orig	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	534278.2	1.005774	1.000000	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	orig	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	62071.9	excluded	excluded	1.179789	1.180356	1.013335	1.000000	1.953608
email-specimen@0.2	orig	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	3522.1	18.672949	1.748015	1.000000	1.000991	3.623955	3.643117	3.554666
