# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=loglines, version=0.1, since=2026-09-01T00:00:00Z, until=2026-09-21T05:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (10 record(s) matching this query); records: 10; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.4,1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11382589.7	5.084856	1.000000	1.158626	3.027926	3.027085	1.159275	1.159793	3.025733	3.028873	1.158928
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395913.6	5.683898	1.000000	1.080987	3.239191	3.235998	1.086046	1.087911	3.235351	3.239544	1.080673
loglines@0.1	floor	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2906596.4	5.000336	2.297956	1.000000	1.221847	1.361904	1.320130	1.319165	1.571389	1.610924	1.000269
loglines@0.1	floor	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	1538.5	7.383881	3.234651	1.325169	1.036928	1.047136	1.331888	1.336419	1.072448	1.000000	1.326779
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	13026945.2	7.441486	1.178223	1.000000	2.429095	2.421016	1.012066	1.010681	1.577864	1.576416	1.003624
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	432343.1	8.467987	1.133341	1.003575	2.724709	2.741668	1.009055	1.007341	1.748989	1.749467	1.000000
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	251842.6	7.651825	12.730483	1.035469	52.547743	52.494242	1.000000	1.000434	39.914136	39.925389	1.004477
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	6768.7	8.347149	15.485629	1.074455	74.228735	74.213148	1.002569	1.000000	52.917804	48.219905	1.061283
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	6893642.3	28.869627	3.142909	1.000000	11.200686	11.323939	1.002450	1.000949	11.188856	11.341177	1.001666
loglines@0.1	ipv4	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	203769.1	38.228830	3.547851	1.000000	14.533889	14.777792	1.000884	1.004471	14.486911	14.824505	1.005824
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	10503838.9	20.763724	3.020254	1.008318	10.930104	11.078547	1.000308	1.000101	10.956227	11.057768	1.000000
loglines@0.1	ipv6	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	260245.1	31.730199	4.352915	1.016883	16.759752	16.892186	1.001785	1.000000	16.784683	17.009217	1.000103
