# reporter: v24 (2026-09-26); filters: subbench=loglines, version=0.1, since=2026-09-01T00:00:00Z, until=2026-09-21T05:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (10 record(s) matching this query); records: 10; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.4,1.5,1.6; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 10; mixed_x13: False; include_provenance: False; worst_other_core_busy: 13.83% (libpcre2_10.46_jit-caps-simdna / stack-frame / short-subject-search); floor_pattern: floor; null_band: set grain only (not computed at subject grain)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict	capture_class
record						loglines@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260902T070149Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260902T071053Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_1989c62_auto-nocaps-simdna__budu-ryzen1600__20260902T072743Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_1989c62_vm-caps-simdna__budu-ryzen1600__20260902T073612Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_1989c62_vm-in-caps-simdna__budu-ryzen1600__20260902T074436Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_25b1984f_auto-caps-simdna__budu-ryzen1600__20260921T041526Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_25b1984f_auto-nocaps-simdna__budu-ryzen1600__20260921T042401Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_25b1984f_vm-caps-simdna__budu-ryzen1600__20260921T043233Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_25b1984f_vm-in-caps-simdna__budu-ryzen1600__20260921T044101Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
record						loglines@0.1__pcrec_d34c9131_auto-caps-simdna__budu-ryzen1600__20260906T184551Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)							
