# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=loglines, version=0.1, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (13 record(s) matching this query); records: 7; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.4,1.6; superseded: 6; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11382589.7	5.084856	1.000000	1.159275	1.159793	3.025733	3.028873	1.558872
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395913.6	5.683898	1.000000	1.086046	1.087911	3.235351	3.239544	1.832307
loglines@0.1	floor	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3834279.6	3.790532	1.741978	1.000732	1.000000	1.191200	1.221170	1.087116
loglines@0.1	floor	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	1538.5	7.383881	3.234651	1.331888	1.336419	1.072448	1.000000	5.239518
loglines@0.1	hex32-id	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	7465417.4	12.985185	2.055966	1.766027	1.763610	2.753329	2.750803	1.000000
loglines@0.1	hex32-id	short-subject-search	plain	rust_1.13.1_default-caps-simdna	294679.3	12.423935	1.662798	1.480451	1.477935	2.566056	2.566756	1.000000
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	251842.6	7.651825	12.730483	1.000000	1.000434	39.914136	39.925389	1.762614
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	6768.7	8.347149	15.485629	1.002569	1.000000	52.917804	48.219905	2.326420
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	6900187.6	28.842242	3.139928	1.001499	1.000000	11.178242	11.330419	1.087960
loglines@0.1	ipv4	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	203949.1	38.195085	3.544719	1.000000	1.003584	14.474123	14.811419	1.442052
loglines@0.1	ipv6	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	7477277.2	29.168212	4.242756	1.405201	1.404909	15.390955	15.533598	1.000000
loglines@0.1	ipv6	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	260245.1	31.730199	4.352915	1.001785	1.000000	16.784683	17.009217	1.119974
loglines@0.1	iso-ts	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	962034.7	63.330140	1.000000	1.197347	1.197786	26.254997	26.253391	6.071791
loglines@0.1	iso-ts	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	20621.0	115.587430	1.003256	1.000000	1.000337	47.961663	47.672749	10.045618
loglines@0.1	kv-quoted	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	210692.9	311.590531	71.248669	69.212857	67.689774	166.686280	166.688563	1.000000
loglines@0.1	kv-quoted	short-subject-search	plain	rust_1.13.1_default-caps-simdna	9141.7	203.752282	36.582680	56.038036	56.022400	146.564461	146.600175	1.000000
loglines@0.1	level-context	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1098535.0	5.482070	2.735003	10.043728	10.036285	26.220872	26.273039	1.000000
loglines@0.1	level-context	short-subject-search	plain	rust_1.13.1_default-caps-simdna	42982.6	5.014851	2.677520	7.756745	7.757519	25.770728	25.761524	1.000000
loglines@0.1	stack-frame	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	475090.8	10.626571	1.000000	3.886877	3.884535	61.485725	61.477104	1.158669
loglines@0.1	stack-frame	short-subject-search	plain	rust_1.13.1_default-caps-simdna	12891.4	16.067469	1.360246	2.472058	2.472448	86.751237	86.878136	1.000000
loglines@0.1	uuid	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	1080328.3	91.195473	1.608611	1.000000	1.000182	31.182798	31.191495	5.691338
loglines@0.1	uuid	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	21037.6	176.101202	1.694466	1.000000	1.001684	60.731043	61.043594	13.924336
