# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=syntax, version=0.1, since=2026-09-01T00:00:00Z, until=2026-09-21T10:30:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (10 record(s) matching this query); records: 10; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_auto-nocaps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,pcrec_d34c9131_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_auto-nocaps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna
syntax@0.1	alt-nested	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1198517.4	libpcre2_10.46_jit-caps-simdna	1198517.4	pcrec_d34c9131_auto-nocaps-simdna	2124970.1	10.867941	1.000000	1.811756	1.822834	1.709397	1.711794	1.772077	1.772999	1.710600	1.713621
syntax@0.1	alt-nested	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1859.7	libpcre2_10.46_interp-caps-simdna	1859.7			1.000000	1.000570	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	alt-nested	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	254.7	pcrec_25b1984f_vm-in-caps-simdna	254.7	pcrec_25b1984f_auto-nocaps-simdna	450.0	excluded	excluded	1.776581	1.766884	1.097573	1.000000	1.776958	1.776255	1.096128	1.019829
syntax@0.1	alt-nested	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	725.3	pcrec_25b1984f_auto-caps-simdna	725.3	pcrec_25b1984f_auto-nocaps-simdna	725.8	7.995011	2.412793	1.000000	1.000612	1.207659	1.132944	1.000043	1.001932	1.209715	1.132143
syntax@0.1	alt-two	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1158949.4	libpcre2_10.46_jit-caps-simdna	1158949.4	pcrec_d34c9131_auto-nocaps-simdna	1969968.8	7.260746	1.000000	1.739081	1.740229	1.983093	2.035183	1.701398	1.699788	1.976532	2.028546
syntax@0.1	alt-two	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1560.4	libpcre2_10.46_interp-caps-simdna	1560.4			1.000000	1.006263	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	alt-two	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	253.0	pcrec_25b1984f_vm-in-caps-simdna	253.0	pcrec_d34c9131_auto-nocaps-simdna	432.4	excluded	excluded	1.746239	1.725138	1.066953	1.000000	1.748146	1.708747	1.061553	1.024430
syntax@0.1	alt-two	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	737.8	pcrec_d34c9131_auto-caps-simdna	737.8	pcrec_25b1984f_auto-nocaps-simdna	740.2	5.468075	2.421966	1.000180	1.003242	1.585797	1.625893	1.000000	1.006812	1.577302	1.612048
syntax@0.1	anc-a-uc	large-subject-throughput	plain	pcrec_25b1984f_vm-caps-simdna	15.2	pcrec_25b1984f_vm-caps-simdna	15.2	pcrec_d34c9131_auto-nocaps-simdna	16.9	5.876690	7.113420	1.113138	1.116185	1.000000	1.287315	1.111801	1.111740	1.004007	1.285951
syntax@0.1	anc-a-uc	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1905.4	libpcre2_10.46_interp-caps-simdna	1905.4			1.000000	1.000382	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-a-uc	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	256.4	pcrec_25b1984f_vm-in-caps-simdna	256.4	pcrec_25b1984f_auto-nocaps-simdna	410.0	excluded	excluded	1.601181	1.599070	1.124554	1.000000	1.602537	1.603091	1.126637	1.019947
syntax@0.1	anc-a-uc	short-subject-search	plain	pcrec_25b1984f_vm-caps-simdna	242.3	pcrec_25b1984f_vm-caps-simdna	242.3	pcrec_25b1984f_auto-nocaps-simdna	284.2	8.298977	6.605350	1.168743	1.173155	1.000000	1.018984	1.183532	1.181979	1.017011	1.024018
syntax@0.1	anc-caret	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna	15.1	pcrec_d34c9131_vm-caps-simdna	15.1	pcrec_25b1984f_auto-nocaps-simdna	17.1	6.097060	7.092574	1.122059	1.129411	1.002538	1.297669	1.119522	1.136987	1.000000	1.295382
syntax@0.1	anc-caret	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1898.7	libpcre2_10.46_jit-caps-simdna	1898.7			1.022004	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-caret	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	256.4	pcrec_25b1984f_vm-in-caps-simdna	256.4	pcrec_d34c9131_auto-nocaps-simdna	410.8	excluded	excluded	1.601394	1.602445	1.124863	1.000000	1.600749	1.602289	1.124010	1.019770
syntax@0.1	anc-caret	short-subject-search	plain	pcrec_25b1984f_vm-caps-simdna	244.0	pcrec_25b1984f_vm-caps-simdna	244.0	pcrec_25b1984f_auto-nocaps-simdna	283.2	8.397291	6.399999	1.161807	1.160829	1.000000	1.016536	1.174383	1.174031	1.010108	1.021142
syntax@0.1	anc-dollar	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	212011.0	libpcre2_10.46_jit-caps-simdna	212011.0	pcrec_25b1984f_auto-nocaps-simdna	512718.8	13.992701	1.000000	2.418954	2.418360	10.330591	10.345178	2.419078	2.419166	10.279776	10.332161
syntax@0.1	anc-dollar	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1321.7	libpcre2_10.46_jit-caps-simdna	1321.7			1.030538	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-dollar	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	251.3	pcrec_25b1984f_vm-in-caps-simdna	251.3	pcrec_25b1984f_auto-nocaps-simdna	433.0	excluded	excluded	1.760398	1.723332	1.000280	1.000000	1.758482	1.725188	1.000106	1.021759
