# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=syntax, version=0.1, until=2026-09-21T14:30:16Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
syntax@0.1	alt-nested	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	890038.8	libpcre2_10.46_jit-caps-simdna	1198517.4	rust_1.13.1_default-caps-simdna	890038.8	14.634661	1.346590	2.439692	2.454610	2.301857	2.305085	1.000000
syntax@0.1	alt-nested	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1859.7	libpcre2_10.46_interp-caps-simdna	1859.7			1.000000	1.000570	excluded	excluded	excluded	excluded	excluded
syntax@0.1	alt-nested	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	254.7	pcrec_25b1984f_vm-in-caps-simdna	254.7	rust_1.13.1_default-caps-simdna	424.3	excluded	excluded	1.776581	1.766884	1.097573	1.000000	1.665995
syntax@0.1	alt-nested	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	725.3	pcrec_25b1984f_auto-caps-simdna	725.3	pcrec_25b1984f_auto-nocaps-simdna	725.8	7.995011	2.412793	1.000000	1.000612	1.207659	1.132944	2.007492
syntax@0.1	alt-two	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	870225.0	libpcre2_10.46_jit-caps-simdna	1158949.4	rust_1.13.1_default-caps-simdna	870225.0	9.669725	1.331781	2.316076	2.317605	2.641046	2.710419	1.000000
syntax@0.1	alt-two	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1560.4	libpcre2_10.46_interp-caps-simdna	1560.4			1.000000	1.006263	excluded	excluded	excluded	excluded	excluded
syntax@0.1	alt-two	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	253.0	pcrec_25b1984f_vm-in-caps-simdna	253.0	rust_1.13.1_default-caps-simdna	424.5	excluded	excluded	1.746239	1.725138	1.066953	1.000000	1.677759
syntax@0.1	alt-two	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	737.9	pcrec_25b1984f_auto-caps-simdna	737.9	pcrec_25b1984f_auto-nocaps-simdna	740.2	5.467091	2.421530	1.000000	1.003061	1.585511	1.625600	1.938052
syntax@0.1	anc-a-uc	large-subject-throughput	plain	pcrec_25b1984f_vm-caps-simdna	15.2	pcrec_25b1984f_vm-caps-simdna	15.2	pcrec_25b1984f_auto-nocaps-simdna	17.0	5.876690	7.113420	1.113138	1.116185	1.000000	1.287315	5.401607
syntax@0.1	anc-a-uc	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1905.4	libpcre2_10.46_interp-caps-simdna	1905.4			1.000000	1.000382	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-a-uc	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	256.4	pcrec_25b1984f_vm-in-caps-simdna	256.4	pcrec_25b1984f_auto-nocaps-simdna	410.0	excluded	excluded	1.601181	1.599070	1.124554	1.000000	1.795201
syntax@0.1	anc-a-uc	short-subject-search	plain	pcrec_25b1984f_vm-caps-simdna	242.3	pcrec_25b1984f_vm-caps-simdna	242.3	pcrec_25b1984f_auto-nocaps-simdna	284.2	8.298977	6.605350	1.168743	1.173155	1.000000	1.018984	6.572932
syntax@0.1	anc-caret	large-subject-throughput	plain	pcrec_25b1984f_vm-caps-simdna	15.1	pcrec_25b1984f_vm-caps-simdna	15.1	pcrec_25b1984f_auto-nocaps-simdna	17.1	6.081625	7.074618	1.119219	1.126551	1.000000	1.294384	5.339053
