# reporter: v21 (2026-09-23); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-22T07:00:00Z, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99): best_testee/best_ns and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. This is a DIFFERENT number from the report's own class-pure ranking sections; matrix_page.py recomputes a class-pure ratio per its two split tables from this line plus each cell's own ratio x best_ns, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee	best_ns	oniguruma_6.9.10_default-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	pcrec_25b1984f_vm-caps-simdna	5472646.1	refused	1.001874	1.001735	1.000000	1.006622	unsup	unsup
capability@0.1	balanced-parens-rec	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	6542.3	refused	1.014873	1.000000	1.003900	1.023003	unsup	unsup
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	16.9	5.744809	1.003186	1.000000	240846.712745	240823.714378	5.385690	9.933020
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	548.1	14.411074	1.000000	1.005821	10.407603	10.276703	4.055739	3.734956
capability@0.1	bracket-array-define	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	93.6	1.000000	52146.797060	52108.441246	52124.879211	52131.463310	unsup	unsup
capability@0.1	bracket-array-define	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	2928.4	1.000000	2.333090	2.349622	2.330932	2.418751	unsup	unsup
capability@0.1	codegrammar-flat	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121319.8	80.616692	5.017635	5.394962	16.659662	36.446262	20.146025	1.000000
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	727.0	7.736267	1.291461	1.000000	2.140473	5.182951	3.420871	3.437209
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121342.4	79.721511	5.090203	5.258068	16.571815	36.408267	20.132593	1.000000
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	726.1	7.756351	1.292309	1.000000	2.144410	5.190498	3.469468	3.433050
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	9587640.4	1.000000	1.166949	1.165218	1.160080	1.158730	unsup	unsup
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	5163.3	3.380613	1.000448	1.000000	2.399803	2.436669	unsup	unsup
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	16.0	5.885229	1.908872	1.000000	240969.326665	240877.443034	4.803934	10.416106
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	489.1	11.621894	1.776351	1.000000	12.489993	12.880105	3.603039	3.820360
capability@0.1	doubled-word	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	25345451.8	3.134216	1.005350	1.000000	1.008969	1.018571	unsup	unsup
capability@0.1	doubled-word	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	20814.1	4.297213	1.000000	1.001774	1.004531	1.010679	unsup	unsup
capability@0.1	dup-param-detect	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2227859.6	1.000000	6.050671	6.015786	6.046861	6.033675	unsup	unsup
capability@0.1	dup-param-detect	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	8860.1	1.000000	1.218831	1.225327	1.227274	1.237773	unsup	unsup
capability@0.1	email-local-nodup	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	977.1	1.410596	1.003545	1.000000	3953.351508	3958.878775	unsup	unsup
capability@0.1	email-local-nodup	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	10636.1	1.742719	1.000000	1.001152	1.499110	1.516176	unsup	unsup
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	32.0	69657.179889	1.478357	1.000000	140100.830931	140106.015756	3.365158	989.353226
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	976.2	5.179930	1.471148	1.000000	gave-up	gave-up	4.149824	1.896807
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	26.9	653.297961	158938.572356	1.000000	158930.463137	158871.203979	3.254254	6.302269
capability@0.1	evil-alt-nested	short-subject-search	plain			gave-up	gave-up	no-expectation	gave-up	gave-up	no-expectation	no-expectation
capability@0.1	file-ext-order	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	46487.5	25.385467	6.297765	6.290147	82.906445	82.952716	1.000000	1.823121
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	838.8	3.778757	1.000000	1.028241	5.623114	5.465093	1.690431	2.952356
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	1790225.4	7.459946	1.000743	1.000000	10.553677	10.636174	unsup	unsup
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	2489.5	8.246705	1.000000	1.005128	7.969478	8.069062	unsup	unsup
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	23126.4	96.401986	1.000705	1.000000	35.201244	35.209010	1.012634	1.399700
capability@0.1	floor-byte	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	666.2	6.599902	1.002321	1.000000	2.034349	1.949314	1.839411	3.063906
capability@0.1	high-byte-run	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	64145.5	31.722605	7.531809	7.530017	31.730544	31.713312	38.098364	1.000000
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1113.8	4.666252	1.020846	1.000000	2.571913	2.481307	wrong	2.413030
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	17.9	20.652817	1.047204	1.044189	226654.102659	226583.246811	1.000000	1.695317
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	492.1	6.976875	1.000000	1.009991	13.020764	12.990145	2.948585	1.933476
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	290.0	13646.300909	2520.714246	2521.639713	14417.392128	14457.594841	1221.808976	1.000000
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	774.4	5.218059	1.000186	1.000000	6.084501	6.127044	2.082049	3.451957
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	30.0	3.267672	1.000000	1.076327	95130.122230	94855.659579	unsup	unsup
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	838.7	5.981691	1.016035	1.000000	4.915441	4.916949	unsup	unsup
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	18.8	5.206501	1.615192	1.000000	194953.871625	194875.143615	4.700361	8.600684
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	492.6	10.180584	1.643274	1.000000	9.778333	9.722932	3.215241	2.406172
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	23126.2	96.363971	1.000000	1.000860	35.203659	35.219432	refused	1.367156
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	691.1	6.407839	1.000000	1.003756	2.203305	2.192909	refused	2.952774
capability@0.1	negation-scope-lookbehind-var					unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	1498979.2	1.000000	5.202284	5.208989	5.203129	5.203248	unsup	unsup
capability@0.1	nested-comment-rec	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	4456.3	1.000000	2.084634	2.085877	2.082921	2.034507	unsup	unsup
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	15.2	6.217787	1.820046	1.000000	267758.459325	268839.815406	5.617626	10.987413
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	470.2	26697.016123	1.799361	1.000000	19641.162136	19650.688841	5.669174	4.168173
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	15.1	6.229189	1.882626	1.000000	255710.854370	255532.580830	5.800691	11.041583
