# reporter: v18 (2026-09-18); filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-22T07:00:00Z, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (7 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 62.5% (pcrec_25b1984f_auto-caps-simdna / wild-validator-ipv4-owasp / large-subject-throughput); floor_pattern: floor-byte
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						capability@0.1__oniguruma_6.9.10_default-caps-simdna__budu-ryzen1600__20260922T043951Z				agreement	agree (0 of 123 groups; 0 of 4831 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_auto-caps-simdna__budu-ryzen1600__20260922T021127Z				agreement	agree (0 of 124 groups; 6 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_auto-nocaps-simdna__budu-ryzen1600__20260922T024402Z				agreement	agree (0 of 126 groups; 3 of 4912 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_vm-caps-simdna__budu-ryzen1600__20260922T031341Z				agreement	agree (0 of 124 groups; 5 of 4829 rows; 7 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_vm-in-caps-simdna__budu-ryzen1600__20260922T035712Z				agreement	agree (0 of 124 groups; 6 of 4829 rows; 7 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260922T051752Z				agreement	agree (0 of 82 groups; 2 of 3194 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__vectorscan_5.4.11_block-nosom-nocaps-simd__budu-ryzen1600__20260922T053300Z				agreement	agree (0 of 80 groups; 1 of 3118 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
baseline	balanced-parens-rec	(set)	large-subject-throughput			pcrec_25b1984f_vm-caps-simdna				baseline_identity	row-best-fallback					pcrec_25b1984f_vm-caps-simdna (row-best fallback -- interp absent from this group)	
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	1	median_ns	5472646.062500	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	1	min_ns	5468168.958333	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	1	max_ns	5479109.625000	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	1	stddev_ns	3914.858372	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	median_ns	5482138.959184	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	min_ns	5480380.795918	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	max_ns	5499211.102041	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	stddev_ns	7019.834726	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	ratio_vs_baseline	1.001735	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	ratio_vs_best	1.001735	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	median_ns	5482899.142857	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	min_ns	5480903.408163	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	max_ns	5499722.265306	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	stddev_ns	8550.546947	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	ratio_vs_baseline	1.001874	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	ratio_vs_best	1.001874	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	4	median_ns	5508887.826087	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	4	min_ns	5494534.043478	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	4	max_ns	5519113.956522	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	4	stddev_ns	9322.415122	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	4	ratio_vs_baseline	1.006622	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	4	ratio_vs_best	1.006622	3	1.0000	0	0		
did_not_compile	balanced-parens-rec	(set)	large-subject-throughput			oniguruma_6.9.10_default-caps-simdna	did-not-compile									onig_new failed (code -116): unmatched close parenthesis	
baseline	balanced-parens-rec	(set)	short-subject-search			pcrec_25b1984f_auto-nocaps-simdna				baseline_identity	row-best-fallback					pcrec_25b1984f_auto-nocaps-simdna (row-best fallback -- interp absent from this group)	
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	1	median_ns	6542.250918	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	1	min_ns	6456.439159	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	1	max_ns	6642.873270	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	1	stddev_ns	63.266221	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	1	ratio_vs_best	1.000000	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	median_ns	6567.764581	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	min_ns	6544.564668	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	max_ns	6634.312624	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	stddev_ns	31.631950	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	ratio_vs_baseline	1.003900	75	1.0000	0	0		
rank	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	ratio_vs_best	1.003900	75	1.0000	0	0		
