# reporter: v23 (2026-09-25); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-23T00:00:00Z, until=2026-09-24T06:00:00Z, testee=pcrec_b1885a83_auto-caps-simdna, testee=pcrec_b1885a83_auto-nocaps-simdna, testee=pcrec_b1885a83_vm-caps-simdna, testee=pcrec_b1885a83_vm-in-caps-simdna, testee=pcrec_6ef76820_auto-caps-simdna, testee=pcrec_6ef76820_auto-nocaps-simdna, testee=pcrec_6ef76820_vm-caps-simdna, testee=pcrec_6ef76820_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (8 record(s) matching this query); records: 8; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_auto-nocaps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_auto-nocaps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna; capture_class: yes=pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna; no=pcrec_6ef76820_auto-nocaps-simdna,pcrec_b1885a83_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99): best_testee/best_ns and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. This is a DIFFERENT number from the report's own class-pure ranking sections; matrix_page.py recomputes a class-pure ratio per its two split tables from this line plus each cell's own ratio x best_ns, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_6ef76820_auto-caps-simdna	pcrec_6ef76820_auto-nocaps-simdna	pcrec_6ef76820_vm-caps-simdna	pcrec_6ef76820_vm-in-caps-simdna	pcrec_b1885a83_auto-caps-simdna	pcrec_b1885a83_auto-nocaps-simdna	pcrec_b1885a83_vm-caps-simdna	pcrec_b1885a83_vm-in-caps-simdna
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	5207663.8	1.001716	1.001053	1.001599	1.009541	1.000000	1.001461	1.000077	1.010725
capability@0.1	balanced-parens-rec	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	980.1	1.004899	1.003346	1.004690	1.073606	1.006897	1.000000	1.005554	1.073591
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	16.0	1.060439	1.067581	2.169395	2.512339	1.003269	1.000000	2.131246	2.440405
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	527.6	1.075340	1.072661	1.843515	2.062678	1.000000	1.000807	1.944690	2.054099
capability@0.1	bracket-array-define	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	72.1	1.023447	1.000000	1.006344	1.253093	1.004092	1.002321	1.002923	1.247975
capability@0.1	bracket-array-define	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	1882.5	1.000899	1.007500	1.001187	1.099612	1.000000	1.001629	1.000548	1.093002
capability@0.1	codegrammar-flat	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	597721.0	1.008745	1.045260	3.397871	4.049155	1.000000	1.010694	3.411852	4.057333
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	670.9	1.356370	1.084853	1.054497	1.299134	1.064027	1.000000	1.072136	1.295327
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	603397.7	1.011430	1.044640	3.366676	4.010431	1.000000	1.022495	3.425052	4.005077
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	670.6	1.348867	1.080350	1.051228	1.299029	1.062687	1.000000	1.074166	1.295741
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	pcrec_b1885a83_vm-caps-simdna	11114729.0	1.005168	1.005023	1.000214	1.000055	1.005538	1.006030	1.000000	1.000442
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	pcrec_6ef76820_auto-caps-simdna	5109.2	1.000000	1.002435	2.427190	2.464959	1.004288	1.005376	2.423982	2.460989
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	15.2	1.944487	1.065691	3.418651	4.019642	1.909590	1.000000	4.861806	3.981543
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	469.9	1.824792	1.052599	3.640810	4.120896	1.794643	1.000000	3.654490	4.093975
capability@0.1	doubled-word	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	25399374.8	1.003885	1.002136	1.006067	1.014306	1.002582	1.000000	1.004357	1.013190
capability@0.1	doubled-word	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	20820.3	1.001808	1.001157	1.002157	1.013820	1.003029	1.000000	1.001879	1.016703
capability@0.1	dup-param-detect	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	23104.3	1.001202	1.001129	1.001783	1.000493	1.000000	1.001274	1.005715	1.001812
capability@0.1	dup-param-detect	short-subject-search	plain	pcrec_b1885a83_vm-caps-simdna	1158.2	1.003708	1.001569	1.004276	1.073134	1.003019	1.004856	1.000000	1.065571
