# reporter: v21 (2026-09-23); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-23T07:00:00Z, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=pcrec_8d716693_auto-caps-simdna, testee=pcrec_8d716693_auto-nocaps-simdna, testee=pcrec_8d716693_vm-caps-simdna, testee=pcrec_8d716693_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (11 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_auto-nocaps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,pcrec_8d716693_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99): best_testee/best_ns and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. This is a DIFFERENT number from the report's own class-pure ranking sections; matrix_page.py recomputes a class-pure ratio per its two split tables from this line plus each cell's own ratio x best_ns, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee	best_ns	oniguruma_6.9.10_default-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_8d716693_auto-caps-simdna	pcrec_8d716693_auto-nocaps-simdna	pcrec_8d716693_vm-caps-simdna	pcrec_8d716693_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	5239095.5	refused	1.046535	1.046390	1.044578	1.051496	1.000643	1.000000	1.002313	1.003513	unsup	unsup
capability@0.1	balanced-parens-rec	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	982.3	refused	6.759480	6.660417	6.686391	6.813629	1.003999	1.000000	1.004589	1.071937	unsup	unsup
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_8d716693_auto-caps-simdna	16.0	6.055024	1.057357	1.053999	253852.219521	253827.979263	1.000000	1.000512	2.195753	2.539594	5.676512	10.469395
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	545.6	14.475873	1.004496	1.010343	10.454400	10.322912	1.000000	1.001181	1.830877	1.985729	4.073976	3.751750
capability@0.1	bracket-array-define	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	72.4	1.293496	67451.684089	67402.070990	67423.333435	67431.849942	1.018177	1.008154	1.000000	1.237206	unsup	unsup
capability@0.1	bracket-array-define	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	1884.9	1.553583	3.624649	3.650333	3.621296	3.757730	1.000000	1.007043	1.000274	1.094355	unsup	unsup
capability@0.1	codegrammar-flat	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121319.8	80.616692	5.017635	5.394962	16.659662	36.446262	5.076479	4.930070	16.856065	19.995522	20.146025	1.000000
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	639.8	8.790925	1.467521	1.136327	2.432277	5.889525	1.081552	1.000000	1.294834	1.626182	3.887227	3.905792
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121342.4	79.721511	5.090203	5.258068	16.571815	36.408267	5.070238	4.917784	16.833725	19.955717	20.132593	1.000000
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	640.4	8.794696	1.465311	1.133870	2.431483	5.885352	1.080649	1.000000	1.293349	1.620807	3.933927	3.892633
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	9587640.4	1.000000	1.166949	1.165218	1.160080	1.158730	1.167280	1.165576	1.159292	1.159909	unsup	unsup
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	5125.4	3.405667	1.007863	1.007411	2.417588	2.454728	1.000000	1.000857	2.404978	2.454855	unsup	unsup
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	15.6	6.053865	1.963569	1.028654	247874.087886	247779.571412	1.984807	1.000000	3.348621	3.853152	4.941586	10.714570
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	489.1	11.621894	1.776351	1.000000	12.489993	12.880105	1.820633	1.046753	3.512000	3.935179	3.603039	3.820360
capability@0.1	doubled-word	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	25345451.8	3.134216	1.005350	1.000000	1.008969	1.018571	1.002754	1.002702	1.003773	1.004394	unsup	unsup
capability@0.1	doubled-word	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	20814.1	4.297213	1.000000	1.001774	1.004531	1.010679	1.001785	1.001334	1.001619	1.010018	unsup	unsup
capability@0.1	dup-param-detect	large-subject-throughput	plain	pcrec_8d716693_auto-caps-simdna	23130.5	96.316790	582.781171	579.421167	582.414214	581.144238	1.000000	1.000609	1.000708	1.002105	unsup	unsup
