# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-23T18:00:00Z, testee=pcrec_8d716693_auto-caps-simdna, testee=pcrec_8d716693_auto-nocaps-simdna, testee=pcrec_8d716693_vm-caps-simdna, testee=pcrec_8d716693_vm-in-caps-simdna, testee=pcrec_b1885a83_auto-caps-simdna, testee=pcrec_b1885a83_auto-nocaps-simdna, testee=pcrec_b1885a83_vm-caps-simdna, testee=pcrec_b1885a83_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (11 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_auto-nocaps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_auto-nocaps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=oniguruma_6.9.10_default-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna; no=pcrec_8d716693_auto-nocaps-simdna,pcrec_b1885a83_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	oniguruma_6.9.10_default-caps-simdna	pcrec_8d716693_auto-caps-simdna	pcrec_8d716693_auto-nocaps-simdna	pcrec_8d716693_vm-caps-simdna	pcrec_8d716693_vm-in-caps-simdna	pcrec_b1885a83_auto-caps-simdna	pcrec_b1885a83_auto-nocaps-simdna	pcrec_b1885a83_vm-caps-simdna	pcrec_b1885a83_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	5207663.8	pcrec_b1885a83_auto-caps-simdna	5207663.8	pcrec_b1885a83_auto-nocaps-simdna	5215270.6	refused	1.006683	1.006036	1.008362	1.009570	1.000000	1.001461	1.000077	1.010725	unsup	unsup
capability@0.1	balanced-parens-rec	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	980.1	pcrec_b1885a83_vm-caps-simdna	985.6	pcrec_b1885a83_auto-nocaps-simdna	980.1	refused	1.006175	1.002167	1.006765	1.074259	1.006897	1.000000	1.005554	1.073591	unsup	unsup
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_8d716693_auto-caps-simdna	16.0	pcrec_8d716693_auto-caps-simdna	16.0	pcrec_8d716693_auto-nocaps-simdna	16.0	6.055024	1.000000	1.000512	2.195753	2.539594	1.003877	1.000605	2.132537	2.441883	5.676512	10.469395
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	527.6	pcrec_b1885a83_auto-caps-simdna	527.6	pcrec_b1885a83_auto-nocaps-simdna	528.1	14.969343	1.034089	1.035311	1.893290	2.053421	1.000000	1.000807	1.944690	2.054099	4.212854	3.879644
capability@0.1	bracket-array-define	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	72.3	pcrec_b1885a83_vm-caps-simdna	72.3	pcrec_b1885a83_auto-nocaps-simdna	72.3	1.295255	1.019562	1.009525	1.001360	1.238889	1.001767	1.000000	1.000601	1.245085	unsup	unsup
capability@0.1	bracket-array-define	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	1882.5	pcrec_b1885a83_auto-caps-simdna	1882.5	pcrec_b1885a83_auto-nocaps-simdna	1885.5	1.555597	1.001296	1.008348	1.001571	1.095773	1.000000	1.001629	1.000548	1.093002	unsup	unsup
capability@0.1	codegrammar-flat	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121319.8	pcrec_b1885a83_auto-caps-simdna	597721.0	vectorscan_5.4.11_block-nosom-nocaps-simd	121319.8	80.616692	5.076479	4.930070	16.856065	19.995522	4.926820	4.979508	16.809584	19.989751	20.146025	1.000000
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	639.8	pcrec_8d716693_auto-caps-simdna	692.0	pcrec_8d716693_auto-nocaps-simdna	639.8	8.790925	1.081552	1.000000	1.294834	1.626182	1.115722	1.048585	1.124225	1.358260	3.887227	3.905792
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121342.4	pcrec_b1885a83_auto-caps-simdna	603397.7	vectorscan_5.4.11_block-nosom-nocaps-simd	121342.4	79.721511	5.070238	4.917784	16.833725	19.955717	4.972685	5.084547	17.031706	19.915987	20.132593	1.000000
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	640.4	pcrec_8d716693_auto-caps-simdna	692.0	pcrec_8d716693_auto-nocaps-simdna	640.4	8.794696	1.080649	1.000000	1.293349	1.620807	1.112881	1.047233	1.124903	1.356943	3.933927	3.892633
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	9587640.4	oniguruma_6.9.10_default-caps-simdna	9587640.4	pcrec_8d716693_auto-nocaps-simdna	11175118.7	1.000000	1.167280	1.165576	1.159292	1.159909	1.165697	1.166267	1.159277	1.159789	unsup	unsup
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	5125.4	pcrec_8d716693_auto-caps-simdna	5125.4	pcrec_8d716693_auto-nocaps-simdna	5129.7	3.405667	1.000000	1.000857	2.404978	2.454855	1.001129	1.002213	2.416355	2.453247	unsup	unsup
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	15.2	pcrec_b1885a83_auto-caps-simdna	28.9	pcrec_b1885a83_auto-nocaps-simdna	15.2	6.229576	2.042415	1.029025	3.445814	3.964989	1.909590	1.000000	4.861806	3.981543	5.085014	11.025557
