# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-23T00:00:00Z, until=2026-09-26T06:00:00Z, testee=pcrec_6ef76820_auto-caps-simdna, testee=pcrec_6ef76820_auto-nocaps-simdna, testee=pcrec_6ef76820_vm-caps-simdna, testee=pcrec_6ef76820_vm-in-caps-simdna, testee=pcrec_ce658cb7_auto-caps-simdna, testee=pcrec_ce658cb7_auto-nocaps-simdna, testee=pcrec_ce658cb7_vm-caps-simdna, testee=pcrec_ce658cb7_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (8 record(s) matching this query); records: 8; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6,1.7; superseded: 0; newer_not_measured: 0; testees: pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_auto-nocaps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_ce658cb7_auto-caps-simdna,pcrec_ce658cb7_auto-nocaps-simdna,pcrec_ce658cb7_vm-caps-simdna,pcrec_ce658cb7_vm-in-caps-simdna; capture_class: yes=pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_ce658cb7_auto-caps-simdna,pcrec_ce658cb7_vm-caps-simdna,pcrec_ce658cb7_vm-in-caps-simdna; no=pcrec_6ef76820_auto-nocaps-simdna,pcrec_ce658cb7_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	pcrec_6ef76820_auto-caps-simdna	pcrec_6ef76820_auto-nocaps-simdna	pcrec_6ef76820_vm-caps-simdna	pcrec_6ef76820_vm-in-caps-simdna	pcrec_ce658cb7_auto-caps-simdna	pcrec_ce658cb7_auto-nocaps-simdna	pcrec_ce658cb7_vm-caps-simdna	pcrec_ce658cb7_vm-in-caps-simdna
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	pcrec_ce658cb7_auto-caps-simdna	5184526.3	pcrec_ce658cb7_auto-caps-simdna	5184526.3	pcrec_ce658cb7_auto-nocaps-simdna	5186857.8	1.006187	1.005521	1.006068	1.014046	1.000000	1.000450	1.001323	1.013392
capability@0.1	balanced-parens-rec	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	983.4	pcrec_ce658cb7_auto-caps-simdna	983.8	pcrec_6ef76820_auto-nocaps-simdna	983.4	1.001548	1.000000	1.001339	1.070025	1.000406	1.001561	1.002744	1.068867
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	17.0	pcrec_6ef76820_auto-caps-simdna	17.0	pcrec_6ef76820_auto-nocaps-simdna	17.1	1.000000	1.006735	2.045751	2.369149	1.080365	1.075702	2.095927	2.354351
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	544.5	pcrec_ce658cb7_auto-caps-simdna	544.5	pcrec_ce658cb7_auto-nocaps-simdna	544.8	1.042043	1.039448	1.786433	1.998811	1.000000	1.000551	1.733232	1.996690
capability@0.1	bracket-array-define	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	72.1	pcrec_ce658cb7_vm-caps-simdna	72.2	pcrec_6ef76820_auto-nocaps-simdna	72.1	1.023447	1.000000	1.006344	1.253093	1.001424	1.001639	1.001258	1.258268
capability@0.1	bracket-array-define	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	1882.1	pcrec_ce658cb7_vm-caps-simdna	1882.1	pcrec_ce658cb7_auto-nocaps-simdna	1883.5	1.001118	1.007719	1.001405	1.099852	1.000144	1.000777	1.000000	1.130016
capability@0.1	codegrammar-flat	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	602948.0	pcrec_6ef76820_auto-caps-simdna	602948.0	pcrec_6ef76820_auto-nocaps-simdna	624774.0	1.000000	1.036199	3.368415	4.014053	1.043528	1.047416	3.387165	4.011215
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	704.9	pcrec_ce658cb7_vm-caps-simdna	704.9	pcrec_ce658cb7_auto-nocaps-simdna	723.9	1.290906	1.032493	1.003603	1.236432	1.264269	1.026980	1.000000	1.235787
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	610294.5	pcrec_6ef76820_auto-caps-simdna	610294.5	pcrec_ce658cb7_auto-nocaps-simdna	615193.1	1.000000	1.032835	3.328630	3.965110	1.019873	1.008027	3.309972	3.971113
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	704.1	pcrec_ce658cb7_vm-caps-simdna	704.1	pcrec_ce658cb7_auto-nocaps-simdna	723.1	1.284681	1.028941	1.001205	1.237215	1.264131	1.027026	1.000000	1.234925
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	pcrec_ce658cb7_vm-in-caps-simdna	11111697.1	pcrec_ce658cb7_vm-in-caps-simdna	11111697.1	pcrec_6ef76820_auto-nocaps-simdna	11170562.1	1.005443	1.005298	1.000487	1.000328	1.006134	1.009314	1.000338	1.000000
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	5077.4	pcrec_ce658cb7_auto-caps-simdna	5077.4	pcrec_ce658cb7_auto-nocaps-simdna	5115.3	1.006264	1.008715	2.442394	2.480399	1.000000	1.007456	2.432155	2.477802
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	16.1	pcrec_6ef76820_auto-caps-simdna	29.5	pcrec_6ef76820_auto-nocaps-simdna	16.1	1.824625	1.000000	3.207919	3.771864	1.960766	1.126991	4.560312	3.755060
