path	subbench	version	testee_id	machine_id	timestamp	status	rows
records/altwide@0.1/libpcre2_10.46_interp-caps-simdna/altwide@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260902T083714Z.jsonl	altwide	0.1	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-09-02T08:37:14Z	measured	8100
records/altwide@0.1/libpcre2_10.46_jit-caps-simdna/altwide@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260902T091909Z.jsonl	altwide	0.1	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-09-02T09:19:09Z	measured	8100
records/altwide@0.1/pcrec_1989c62_auto-caps-simdna/altwide@0.1__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260902T094922Z.jsonl	altwide	0.1	pcrec_1989c62_auto-caps-simdna	budu-ryzen1600	2026-09-02T09:49:22Z	measured	2916
records/altwide@0.1/pcrec_1989c62_auto-nocaps-simdna/altwide@0.1__pcrec_1989c62_auto-nocaps-simdna__budu-ryzen1600__20260902T095425Z.jsonl	altwide	0.1	pcrec_1989c62_auto-nocaps-simdna	budu-ryzen1600	2026-09-02T09:54:25Z	measured	2916
records/altwide@0.1/pcrec_1989c62_vm-caps-simdna/altwide@0.1__pcrec_1989c62_vm-caps-simdna__budu-ryzen1600__20260902T095921Z.jsonl	altwide	0.1	pcrec_1989c62_vm-caps-simdna	budu-ryzen1600	2026-09-02T09:59:21Z	measured	3304
records/altwide@0.1/pcrec_1989c62_vm-in-caps-simdna/altwide@0.1__pcrec_1989c62_vm-in-caps-simdna__budu-ryzen1600__20260902T100350Z.jsonl	altwide	0.1	pcrec_1989c62_vm-in-caps-simdna	budu-ryzen1600	2026-09-02T10:03:50Z	measured	3304
records/altwide@0.2/libpcre2_10.46_interp-caps-simdna/altwide@0.2__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260903T035908Z.jsonl	altwide	0.2	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-09-03T03:59:08Z	measured	14025
records/altwide@0.2/libpcre2_10.46_jit-caps-simdna/altwide@0.2__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260903T050103Z.jsonl	altwide	0.2	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-09-03T05:01:03Z	measured	14025
records/altwide@0.2/pcrec_1989c62_auto-caps-simdna/altwide@0.2__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260903T055235Z.jsonl	altwide	0.2	pcrec_1989c62_auto-caps-simdna	budu-ryzen1600	2026-09-03T05:52:35Z	measured	7382
records/altwide@0.2/pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608/altwide@0.2__pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608__budu-ryzen1600__20260903T064601Z.jsonl	altwide	0.2	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	budu-ryzen1600	2026-09-03T06:46:01Z	measured	14190
records/altwide@0.2/pcrec_1989c62_auto-nocaps-simdna/altwide@0.2__pcrec_1989c62_auto-nocaps-simdna__budu-ryzen1600__20260903T060135Z.jsonl	altwide	0.2	pcrec_1989c62_auto-nocaps-simdna	budu-ryzen1600	2026-09-03T06:01:35Z	measured	7382
